Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
22-Jan-2013,KOTAKBANK,EQ,630.95,630.95,647.55,627.25,640.85,640.75,640.06,2869669,183676208810000.00,48555,1241534,0.4326
23-Jan-2013,KOTAKBANK,EQ,640.75,654.3,654.3,638.45,644.7,645.05,643.81,838269,53968385545000.00,15955,381913,0.4556
24-Jan-2013,KOTAKBANK,EQ,645.05,643,654.95,642,653,653.05,648.84,1011256,65613885085000.00,14477,700439,0.6926
25-Jan-2013,KOTAKBANK,EQ,653.05,652.65,667.8,648.7,665.95,665.2,661.68,956361,63280246285000.00,27340,675758,0.7066
28-Jan-2013,KOTAKBANK,EQ,665.2,668,673,665.1,669,668.05,669.11,619932,41480328560000.00,14723,460551,0.7429
29-Jan-2013,KOTAKBANK,EQ,668.05,668,678.85,662.35,673.55,674.7,672.82,2405571,161850863905000.00,23708,2080296,0.8648
30-Jan-2013,KOTAKBANK,EQ,674.7,676,684.8,670.3,677.5,678.8,675.29,2910800,196563848050000.00,27395,2592019,0.8905
31-Jan-2013,KOTAKBANK,EQ,678.8,677,683.5,677,680.65,680.35,680.61,1311234,89244427875000.00,22499,1005285,0.7667
1-Feb-2013,KOTAKBANK,EQ,680.35,680.45,685.05,666.9,672.3,672.3,675.95,648084,43807338550000.00,15257,424819,0.6555
4-Feb-2013,KOTAKBANK,EQ,672.3,672.25,681,668.7,676.5,676.7,675.86,991111,66985091765000.00,18543,761468,0.7683
5-Feb-2013,KOTAKBANK,EQ,676.7,672,683,671,682.5,680.45,677.46,516641,35000548285000.00,16581,355433,0.688
6-Feb-2013,KOTAKBANK,EQ,680.45,681.25,697.2,681.1,696,695.15,690.33,1227031,84705063925000.00,32241,829671,0.6762
7-Feb-2013,KOTAKBANK,EQ,695.15,689.2,695.5,685.05,687.75,687.6,690.89,507592,35068843635000.00,22784,303851,0.5986
8-Feb-2013,KOTAKBANK,EQ,687.6,685,688.95,674.65,679.5,678.35,678.98,574211,38987522785000.00,32024,332093,0.5783
11-Feb-2013,KOTAKBANK,EQ,678.35,681.5,681.5,668.25,672.8,671.8,672.71,575221,38695535180000.00,31626,399006,0.6937
12-Feb-2013,KOTAKBANK,EQ,671.8,672,674.8,668.1,670.2,671.35,671.12,302912,20328961610000.00,13836,210032,0.6934
13-Feb-2013,KOTAKBANK,EQ,671.35,674,678.4,665,669,667.75,672.69,384646,25874803435000.00,12154,211294,0.5493
14-Feb-2013,KOTAKBANK,EQ,667.75,668.95,672.95,661.2,668,665.4,665.88,278401,18538059570000.00,13996,124078,0.4457
15-Feb-2013,KOTAKBANK,EQ,665.4,664.5,674,664.1,672.75,670.35,668.64,137313,9181280450000.00,6176,61043,0.4446
18-Feb-2013,KOTAKBANK,EQ,670.35,671.8,672,662.7,667.9,665.8,665.55,134275,8936640485000.00,4554,59874,0.4459
19-Feb-2013,KOTAKBANK,EQ,665.8,665.8,677,665.5,674.6,674.8,671.46,127938,8590574309999.99,3975,57988,0.4533
20-Feb-2013,KOTAKBANK,EQ,674.8,676.5,679.55,666.25,668,668.05,669.8,299858,20084442045000.00,11276,171768,0.5728
21-Feb-2013,KOTAKBANK,EQ,668.05,665.8,669,658,661.5,660.3,662.91,566397,37547251670000.00,9647,402484,0.7106
22-Feb-2013,KOTAKBANK,EQ,660.3,659,670.45,657.45,665.75,665.25,664.08,469934,31207595035000.00,12835,294835,0.6274
25-Feb-2013,KOTAKBANK,EQ,665.25,667.1,667.1,654,661.25,660.65,658.34,454585,29927278920000.00,19845,306200,0.6736
26-Feb-2013,KOTAKBANK,EQ,660.65,656.1,664.7,656.1,662.25,661.35,661.36,431978,28569171200000.00,11278,337410,0.7811
27-Feb-2013,KOTAKBANK,EQ,661.35,663,664.5,649.35,650.5,653.5,658.74,637866,42018716895000.00,24333,358402,0.5619
28-Feb-2013,KOTAKBANK,EQ,653.5,654.9,664.7,649,658,659.6,659.02,2086208,137485696630000.00,36593,1340882,0.6427
1-Mar-2013,KOTAKBANK,EQ,659.6,654.55,659.45,650.55,658,654.85,653.75,1215225,79445484450000.00,28666,931273,0.7663
4-Mar-2013,KOTAKBANK,EQ,654.85,654.1,657.5,649.05,654.5,655.05,654.99,1323821,86708941920000.00,26295,1111788,0.8398
5-Mar-2013,KOTAKBANK,EQ,655.05,654.1,661.85,652.4,655,655.95,656.86,1025819,67381750490000.00,22456,808531,0.7882
6-Mar-2013,KOTAKBANK,EQ,655.95,657.95,657.95,651.3,653,654.65,654.67,1007623,65966274120000.00,18865,844560,0.8382
7-Mar-2013,KOTAKBANK,EQ,654.65,652.65,657.5,642.9,655,655.25,649.44,380082,24684220590000.00,25152,199351,0.5245
8-Mar-2013,KOTAKBANK,EQ,655.25,658.95,678.85,650.7,674.35,675.3,666.78,1100684,73391105695000.00,25504,799385,0.7263
11-Mar-2013,KOTAKBANK,EQ,675.3,675,677.15,665.95,667.6,668.9,669.9,992541,66490101304999.90,21167,760095,0.7658
12-Mar-2013,KOTAKBANK,EQ,668.9,668.95,675,664.35,666,668.3,669.62,514536,34454405410000.00,13746,319957,0.6218
13-Mar-2013,KOTAKBANK,EQ,668.3,664.1,667.95,645.15,645.4,650.45,656.81,174470,11459373295000.00,6164,63679,0.365
14-Mar-2013,KOTAKBANK,EQ,650.45,647,663,636.85,659.5,658.25,653.34,497690,32516276235000.00,11571,212899,0.4278
15-Mar-2013,KOTAKBANK,EQ,658.25,659,671.75,659,665,664.3,664.8,323169,21484332820000.00,10602,152930,0.4732
18-Mar-2013,KOTAKBANK,EQ,664.3,657.1,665.95,651,653.3,654.2,656.81,465067,30546057535000.00,10525,283075,0.6087
19-Mar-2013,KOTAKBANK,EQ,654.2,656,661,636.1,640.65,638.3,646.61,554614,35861904025000.00,17711,272471,0.4913
20-Mar-2013,KOTAKBANK,EQ,638.3,637.25,640,628.1,636,633.2,632.93,537133,33997009764999.90,25543,331955,0.618
21-Mar-2013,KOTAKBANK,EQ,633.2,634,650.6,625.1,632.5,631.65,637.1,634394,40416959380000.00,27363,394555,0.6219
22-Mar-2013,KOTAKBANK,EQ,631.65,631.65,652,627.25,634.95,638.6,642.19,484599,31120506614999.90,25773,226865,0.4681
25-Mar-2013,KOTAKBANK,EQ,638.6,643.95,647.65,629.45,631.35,631.85,636.74,850301,54141814365000.00,46490,567255,0.6671
26-Mar-2013,KOTAKBANK,EQ,631.85,631.8,642.8,626.35,640.65,639.7,635.31,594553,37772290770000.00,22498,372001,0.6257
28-Mar-2013,KOTAKBANK,EQ,639.7,640,659.7,637.15,656,653,649.1,642905,41731077460000.00,16301,321030,0.4993
1-Apr-2013,KOTAKBANK,EQ,653,655,655.95,644.95,652.8,652,649.96,202615,13169152380000.00,5831,93084,0.4594
2-Apr-2013,KOTAKBANK,EQ,652,654.95,660,646.9,655.4,656.3,654.68,315862,20678938295000.00,10064,163826,0.5187
3-Apr-2013,KOTAKBANK,EQ,656.3,655.95,659.5,646.1,646.1,650.85,655.5,351681,23052804530000.00,12207,215534,0.6129
4-Apr-2013,KOTAKBANK,EQ,650.85,646.1,651,630,632,632.7,635.32,539977,34305650970000.00,23677,304305,0.5636
5-Apr-2013,KOTAKBANK,EQ,632.7,636,640.65,629.2,635.05,636.75,635.7,573646,36466743925000.00,22979,391600,0.6827
8-Apr-2013,KOTAKBANK,EQ,636.75,630.7,640,623.2,628.25,630.1,629.8,1361417,85742137190000.00,15255,1178617,0.8657
9-Apr-2013,KOTAKBANK,EQ,630.1,633,643.65,615,616,618.75,628.59,506796,31856706580000.00,12443,246059,0.4855
10-Apr-2013,KOTAKBANK,EQ,618.75,619.9,639.9,618.05,637,638.2,630.4,371683,23431059090000.00,13556,146252,0.3935
11-Apr-2013,KOTAKBANK,EQ,638.2,640,640.9,620,628.45,630.55,630.41,642002,40472736750000.00,21187,364565,0.5679
12-Apr-2013,KOTAKBANK,EQ,630.55,630,641.85,630,640.05,638.35,636.62,283778,18065979440000.00,17151,87963,0.31
15-Apr-2013,KOTAKBANK,EQ,638.35,638.35,649,633.25,639.05,640.7,641.92,300352,19280193355000.00,9926,114951,0.3827
16-Apr-2013,KOTAKBANK,EQ,640.7,638.7,658.05,636.65,654,653.2,649.67,369717,24019433110000.00,8855,208776,0.5647
17-Apr-2013,KOTAKBANK,EQ,653.2,656.05,665.45,647.2,659.55,659.75,658.19,817281,53792274740000.00,17707,435716,0.5331
18-Apr-2013,KOTAKBANK,EQ,659.75,654.1,672,654.1,667.35,668.95,663.24,476623,31611690875000.00,12517,217009,0.4553
22-Apr-2013,KOTAKBANK,EQ,668.95,668.95,680,663.3,677.95,676.5,672.4,316930,21310350715000.00,7346,131955,0.4164
23-Apr-2013,KOTAKBANK,EQ,676.5,675.95,696.15,670.65,691,691.9,683.87,339210,23197588475000.00,10345,123730,0.3648
25-Apr-2013,KOTAKBANK,EQ,691.9,693,714.9,691.85,709.9,710.5,706.88,1131977,80016678075000.00,29864,824716,0.7286
26-Apr-2013,KOTAKBANK,EQ,710.5,710.25,716.5,695.9,716,712.75,706.19,311778,22017501015000.00,16017,137962,0.4425
29-Apr-2013,KOTAKBANK,EQ,712.75,713.6,713.6,700,708.5,709,705.86,494982,34939024045000.00,17123,332109,0.671
30-Apr-2013,KOTAKBANK,EQ,709,707.1,714.9,696.75,707.05,707.1,706.16,610319,43098570840000.00,19501,323052,0.5293
2-May-2013,KOTAKBANK,EQ,707.1,704,724.9,701.2,715.6,717.45,717.53,1390497,99772229825000.00,46538,504633,0.3629
3-May-2013,KOTAKBANK,EQ,717.45,715.9,727.8,707.7,720.8,723.25,720.33,801381,57725642485000.00,21850,363528,0.4536
6-May-2013,KOTAKBANK,EQ,723.25,722,722,704.9,712.5,711.6,710.53,352439,25041802775000.00,7951,166669,0.4729
7-May-2013,KOTAKBANK,EQ,711.6,713.05,731.35,713,730,728.45,721.99,704980,50898729755000.00,22268,471153,0.6683
